Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R114       RESC1005X40L        162.382mm      93.294mm     162.382mm      93.294mm     161.882mm      93.294mm  B        360.00 49R9           
C91        CAPC1005X60L        218.516mm      99.644mm     218.516mm      99.644mm     218.516mm     100.144mm  B        270.00 0.1uF          
C53        CAPC1005X60L        168.351mm      56.718mm     168.351mm      56.718mm     168.351mm      57.218mm  B        270.00 0.1uF          
R228       RESC1005X40L         52.908mm     114.122mm      52.908mm     114.122mm      52.408mm     114.122mm  T        360.00 100R           
R226       RESC1005X40L       142.2398mm    102.6158mm    142.2398mm    102.6158mm    142.7398mm    102.6158mm  T        180.00 100R           
R225       RESC1005X40L         29.032mm     218.516mm      29.032mm     218.516mm      29.032mm     218.016mm  B         90.00 3K3            
R224       RESC1005X40L         17.348mm     225.628mm      17.348mm     225.628mm      17.348mm     225.128mm  B         90.00 180R           
Q17        SOT95P245X110-3N       32.08mm     218.516mm       32.08mm     218.516mm       30.98mm     219.466mm  T          0.00 BSS138         
DS27       LEDC3216X120N        17.348mm     221.564mm      17.348mm     221.564mm      17.348mm     220.064mm  T         90.00 SML-LX1206IC-TR
SP42       PGB1010402           53.424mm      45.796mm      53.416mm      45.796mm      52.924mm      45.796mm  T        360.00 PGB1010402     
U85        SOIC127P1030X267-16N     261.738mm         167mm     261.738mm         167mm     257.088mm     171.445mm  T        360.00 DS32kHz        
C779       CAPC1005X60L        256.362mm      40.208mm     256.362mm      40.208mm     256.362mm      39.708mm  B         90.00 0.1uF          
C778       CAPC1005X60L        242.265mm      40.208mm     242.265mm      40.208mm     242.265mm      39.708mm  B         90.00 0.1uF          
C777       CAPC1005X60L        227.406mm        39.7mm     227.406mm        39.7mm     227.406mm        39.2mm  B         90.00 0.1uF          
C776       CAPC1005X60L        261.738mm     169.032mm     261.738mm     169.032mm     262.238mm     169.032mm  B        180.00 0.1uF          
C775       CAPC1005X60L        249.154mm      184.48mm     249.154mm      184.48mm     249.154mm      184.98mm  B        270.00 0.1uF          
C774       CAPC1005X60L        152.476mm      28.524mm     152.476mm      28.524mm     151.976mm      28.524mm  B          0.00 0.1uF          
C30        EEE1CA331UP          265.76mm     137.744mm      265.76mm     137.744mm      262.36mm     137.744mm  T         90.00 330uF          
SP25       PGB1010402            18.61mm     123.266mm      18.618mm     123.266mm       19.11mm     123.266mm  T        180.00 PGB1010402     
SP26       PGB1010402            18.61mm     125.806mm      18.618mm     125.806mm       19.11mm     125.806mm  T        180.00 PGB1010402     
SP27       PGB1010402            18.61mm     128.346mm      18.618mm     128.346mm       19.11mm     128.346mm  T        180.00 PGB1010402     
SP28       PGB1010402            18.61mm     130.886mm      18.618mm     130.886mm       19.11mm     130.886mm  T        180.00 PGB1010402     
SP29       PGB1010402            19.88mm     144.348mm      19.888mm     144.348mm       20.38mm     144.348mm  T        180.00 PGB1010402     
SP30       PGB1010402            19.88mm     146.888mm      19.888mm     146.888mm       20.38mm     146.888mm  T        180.00 PGB1010402     
SP31       PGB1010402            19.88mm     149.428mm      19.888mm     149.428mm       20.38mm     149.428mm  T        180.00 PGB1010402     
SP32       PGB1010402            19.88mm     151.968mm      19.888mm     151.968mm       20.38mm     151.968mm  T        180.00 PGB1010402     
SP33       PGB1010402            19.88mm     154.508mm      19.888mm     154.508mm       20.38mm     154.508mm  T        180.00 PGB1010402     
SP34       PGB1010402            19.88mm     157.048mm      19.888mm     157.048mm       20.38mm     157.048mm  T        180.00 PGB1010402     
SP35       PGB1010402            19.88mm     159.588mm      19.888mm     159.588mm       20.38mm     159.588mm  T        180.00 PGB1010402     
SP36       PGB1010402            19.88mm     162.128mm      19.888mm     162.128mm       20.38mm     162.128mm  T        180.00 PGB1010402     
SP38       PGB1010402            19.88mm      104.47mm      19.888mm      104.47mm       20.38mm      104.47mm  T        180.00 PGB1010402     
SP39       PGB1010402            19.88mm      107.01mm      19.888mm      107.01mm       20.38mm      107.01mm  T        180.00 PGB1010402     
SP40       PGB1010402            19.88mm      109.55mm      19.888mm      109.55mm       20.38mm      109.55mm  T        180.00 PGB1010402     
SP41       PGB1010402            19.88mm      112.09mm      19.888mm      112.09mm       20.38mm      112.09mm  T        180.00 PGB1010402     
SP37       PGB1010402          203.014mm     26.6952mm     203.022mm     26.6952mm     203.514mm     26.6952mm  T        180.00 PGB1010402     
SP9        PGB1010402          267.022mm    226.5678mm      267.03mm    226.5678mm     267.522mm    226.5678mm  B        180.00 PGB1010402     
SP10       PGB1010402           263.22mm      233.24mm      263.22mm     233.248mm      263.22mm      233.74mm  B        270.00 PGB1010402     
SP11       PGB1010402          264.228mm     226.644mm     264.236mm     226.644mm     264.728mm     226.644mm  B        180.00 PGB1010402     
