AD30,24,IO_L19N_24
K33,25,IO_L0P_25
K32,25,IO_L0N_25
N28,25,IO_L1P_25
P28,25,IO_L1N_25
K35,25,IO_L2P_25
K34,25,IO_L2N_25
L31,25,IO_L3P_25
L32,25,IO_L3N_25
J37,25,IO_L4P_25
J36,25,IO_L4N_VREF_25
N29,25,IO_L5P_25
N30,25,IO_L5N_25
H39,25,IO_L6P_25
H38,25,IO_L6N_25
L35,25,IO_L7P_25
L36,25,IO_L7N_25
K38,25,IO_L8P_SRCC_25
J38,25,IO_L8N_SRCC_25
P27,25,IO_L9P_MRCC_25
R27,25,IO_L9N_MRCC_25
R28,25,IO_L10P_MRCC_25
R29,25,IO_L10N_MRCC_25
K37,25,IO_L11P_SRCC_25
L37,25,IO_L11N_SRCC_25
H40,25,IO_L12P_25
H41,25,IO_L12N_25
L34,25,IO_L13P_25
M34,25,IO_L13N_25
J40,25,IO_L14P_25
J41,25,IO_L14N_VREF_25
M33,25,IO_L15P_25
M32,25,IO_L15N_25
K39,25,IO_L16P_VRN_25
K40,25,IO_L16N_VRP_25
M31,25,IO_L17P_25
N31,25,IO_L17N_25
J42,25,IO_L18P_GC_25
K42,25,IO_L18N_GC_25
P30,25,IO_L19P_GC_25
P31,25,IO_L19N_GC_25
H36,26,IO_L0P_26
G36,26,IO_L0N_26
B37,26,IO_L1P_26
A37,26,IO_L1N_26
J35,26,IO_L2P_26
H35,26,IO_L2N_26
B38,26,IO_L3P_26
A39,26,IO_L3N_26
F37,26,IO_L4P_26
E37,26,IO_L4N_VREF_26
B39,26,IO_L5P_26
C39,26,IO_L5N_26
D38,26,IO_L6P_26
C38,26,IO_L6N_26
A40,26,IO_L7P_26
A41,26,IO_L7N_26
E39,26,IO_L8P_SRCC_26
E38,26,IO_L8N_SRCC_26
G34,26,IO_L9P_MRCC_26
H34,26,IO_L9N_MRCC_26
F35,26,IO_L10P_MRCC_26
F36,26,IO_L10N_MRCC_26
B41,26,IO_L11P_SRCC_26
B42,26,IO_L11N_SRCC_26
F39,26,IO_L12P_VRN_26
G39,26,IO_L12N_VRP_26
C40,26,IO_L13P_26
C41,26,IO_L13N_26
G37,26,IO_L14P_26
G38,26,IO_L14N_VREF_26
D42,26,IO_L15P_26
D41,26,IO_L15N_26
F40,26,IO_L16P_26
F41,26,IO_L16N_26
D40,26,IO_L17P_26
E40,26,IO_L17N_26
G41,26,IO_L18P_26
G42,26,IO_L18N_26
E42,26,IO_L19P_26
F42,26,IO_L19N_26
E32,27,IO_L0P_27
D32,27,IO_L0N_27
A32,27,IO_L1P_27
B32,27,IO_L1N_27
F32,27,IO_L2P_27
F31,27,IO_L2N_27
B33,27,IO_L3P_27
C33,27,IO_L3N_27
E35,27,IO_L4P_27
D35,27,IO_L4N_VREF_27
A34,27,IO_L5P_27
A35,27,IO_L5N_27
H31,27,IO_L6P_27
G31,27,IO_L6N_27
B34,27,IO_L7P_27
C34,27,IO_L7N_27
G33,27,IO_L8P_SRCC_27
G32,27,IO_L8N_SRCC_27
L29,27,IO_L9P_MRCC_27
L30,27,IO_L9N_MRCC_27
M28,27,IO_L10P_MRCC_27
M29,27,IO_L10N_MRCC_27
D33,27,IO_L11P_SRCC_27
E33,27,IO_L11N_SRCC_27
H33,27,IO_L12P_VRN_27
J33,27,IO_L12N_VRP_27
A36,27,IO_L13P_27
B36,27,IO_L13N_27
J32,27,IO_L14P_27
J31,27,IO_L14N_VREF_27
C35,27,IO_L15P_27
C36,27,IO_L15N_27
H30,27,IO_L16P_27
J30,27,IO_L16N_27
E34,27,IO_L17P_27
F34,27,IO_L17N_27
K29,27,IO_L18P_27
K30,27,IO_L18N_27
D36,27,IO_L19P_27
D37,27,IO_L19N_27
J27,28,IO_L0P_28
J26,28,IO_L0N_28
D28,28,IO_L1P_28
E29,28,IO_L1N_28
G28,28,IO_L2P_28
G27,28,IO_L2N_28
E30,28,IO_L3P_28
F30,28,IO_L3N_28
G29,28,IO_L4P_28
F29,28,IO_L4N_VREF_28
C31,28,IO_L5P_28
D31,28,IO_L5N_28
R23,28,IO_L6P_28
P23,28,IO_L6N_28
C30,28,IO_L7P_28
D30,28,IO_L7N_28
R25,28,IO_L8P_SRCC_28
P25,28,IO_L8N_SRCC_28
L26,28,IO_L9P_MRCC_28
L25,28,IO_L9N_MRCC_28
N24,28,IO_L10P_MRCC_28
N25,28,IO_L10N_MRCC_28
F27,28,IO_L11P_SRCC_28
E28,28,IO_L11N_SRCC_28
P26,28,IO_L12P_VRN_28
N26,28,IO_L12N_VRP_28
A31,28,IO_L13P_28
B31,28,IO_L13N_28
H28,28,IO_L14P_28
H29,28,IO_L14N_VREF_28
B29,28,IO_L15P_28
C29,28,IO_L15N_28
J28,28,IO_L16P_28
K28,28,IO_L16N_28
A29,28,IO_L17P_28
A30,28,IO_L17N_28
L27,28,IO_L18P_28
K27,28,IO_L18N_28
M26,28,IO_L19P_28
M27,28,IO_L19N_28
AY24,32,IO_L0P_32
BA24,32,IO_L0N_32
AL19,32,IO_L1P_32
AM19,32,IO_L1N_32
AV23,32,IO_L2P_32
AU22,32,IO_L2N_32
AT20,32,IO_L3P_32
AR20,32,IO_L3N_32
AW23,32,IO_L4P_32
AY23,32,IO_L4N_VREF_32
AL20,32,IO_L5P_32
AL21,32,IO_L5N_32
BB24,32,IO_L6P_32
BB23,32,IO_L6N_32
AN20,32,IO_L7P_32
AP20,32,IO_L7N_32
AY20,32,IO_L8P_SRCC_32
BA20,32,IO_L8N_SRCC_32
AJ21,32,IO_L9P_MRCC_32
AJ20,32,IO_L9N_MRCC_32
AK20,32,IO_L10P_MRCC_32
AK19,32,IO_L10N_MRCC_32
AM21,32,IO_L11P_SRCC_32
AN21,32,IO_L11N_SRCC_32
AV21,32,IO_L12P_VRN_32
AW21,32,IO_L12N_VRP_32
AV20,32,IO_L13P_32
AW20,32,IO_L13N_32
BA22,32,IO_L14P_32
